id,age,anciennete,satisfaction,salaire,depart,promotions_recues,annees_depuis_derniere_promotion,jours_absence,niveau_etude,type_poste,type_contrat,departement
58,55,32,0.11,45218,0,2,6,4,Doctorat,Commercial,CDI,Production
59,31,25,0.26,45007,0,2,9,29,Licence,Technicien,CDI,Finance
60,57,16,0.54,48366,0,2,4,5,Bac,Technicien,CDD,Finance
61,35,6,0.84,57827,0,2,2,5,Licence,Manager,CDD,Production
62,52,7,0.35,66208,1,1,8,7,Licence,Technicien,CDI,RH
63,36,30,0.57,61264,1,1,1,15,Doctorat,Commercial,CDD,IT
64,29,11,0.41,59607,1,4,5,13,Doctorat,Commercial,CDI,Finance
65,35,30,0.19,55005,1,4,3,0,Master,Manager,CDD,Finance
66,44,18,0.96,59475,1,4,4,15,Licence,Commercial,CDI,RH
67,42,9,0.87,44926,0,4,1,14,Licence,Commercial,CDI,IT
68,37,11,0.17,61683,1,0,0,4,Doctorat,Commercial,CDI,Finance
69,39,19,0.75,46185,0,3,8,8,Licence,Manager,CDD,IT
70,45,6,0.41,39274,1,2,2,2,Bac,Technicien,CDI,IT
71,47,13,1.0,61947,0,0,5,26,Bac,Manager,CDI,Production
72,46,10,0.37,62839,1,1,8,6,Doctorat,Technicien,CDD,Finance
73,50,6,0.31,69766,0,2,0,6,Licence,Commercial,CDD,Production
74,36,28,0.61,55314,0,3,4,15,Licence,Directeur,CDI,IT
75,22,9,0.85,67913,1,3,3,27,Bac,Manager,CDD,Finance
76,46,28,0.27,58288,0,1,2,27,Doctorat,Technicien,CDD,Ventes
77,28,8,0.74,53892,0,2,1,25,Bac,Technicien,CDD,Ventes
78,30,9,0.16,53682,1,4,2,2,Licence,Commercial,CDD,RH
79,45,18,0.93,29589,0,2,0,14,Doctorat,Technicien,CDI,Production
80,22,30,0.17,58809,0,2,0,6,Licence,Commercial,CDD,IT
81,29,16,0.92,46870,1,3,7,2,Doctorat,Commercial,CDI,Ventes
82,45,8,0.54,36679,0,1,4,15,Bac,Commercial,CDI,Finance
83,32,32,0.5,36803,0,2,1,5,Bac,Technicien,CDD,IT
84,38,33,0.98,67982,0,0,2,7,Doctorat,Directeur,CDI,RH
85,29,23,0.99,55650,0,0,1,15,Doctorat,Manager,CDI,IT
86,56,8,0.69,37529,1,1,9,23,Bac,Technicien,CDD,RH
87,56,6,0.21,56998,1,4,1,5,Bac,Manager,CDI,IT
88,54,15,0.56,38392,1,2,3,15,Licence,Technicien,CDI,Finance
89,26,18,0.58,65265,1,2,3,1,Doctorat,Commercial,CDD,Production
90,60,5,0.56,32583,1,3,6,0,Doctorat,Manager,CDD,Ventes
91,49,10,0.61,54690,1,2,1,18,Doctorat,Commercial,CDD,IT
92,28,11,0.12,38328,0,4,8,13,Bac,Technicien,CDI,IT
93,30,12,0.74,49638,0,2,6,18,Bac,Technicien,CDD,Finance
94,29,11,0.74,44238,0,2,3,22,Bac,Directeur,CDI,Finance
95,33,20,0.2,67113,1,3,6,3,Master,Manager,CDI,Ventes
96,55,9,0.61,50955,1,0,9,1,Master,Technicien,CDD,IT
97,54,19,0.61,49682,0,0,0,1,Bac,Technicien,CDI,Finance
98,44,27,0.71,44462,0,4,6,11,Doctorat,Directeur,CDI,Production
99,45,23,0.18,33652,1,1,5,22,Doctorat,Directeur,CDI,RH
100,58,4,0.66,44761,0,1,8,23,Doctorat,Directeur,CDI,RH
101,56,11,0.35,58235,1,3,7,10,Licence,Commercial,CDI,Finance
102,43,1,0.56,52351,0,2,1,20,Bac,Directeur,CDD,Ventes
103,48,8,0.8,39176,1,3,2,17,Doctorat,Directeur,CDD,Finance
104,56,21,0.74,66709,0,0,2,18,Doctorat,Manager,CDI,Finance
105,22,4,0.21,61914,1,4,5,16,Bac,Commercial,CDD,RH
106,56,11,0.63,53639,0,1,1,25,Bac,Commercial,CDI,Finance
107,58,0,0.97,30216,1,2,1,3,Bac,Technicien,CDI,Ventes
108,35,21,0.24,55415,0,1,3,22,Master,Manager,CDI,RH
109,24,18,0.87,60657,0,0,0,25,Bac,Directeur,CDI,RH
110,22,15,0.73,66217,0,2,0,11,Bac,Commercial,CDI,RH
111,26,30,0.8,45847,1,0,0,24,Master,Technicien,CDD,Production
112,47,2,0.35,45900,0,1,4,2,Bac,Manager,CDD,IT
113,35,22,0.36,39242,0,1,8,15,Doctorat,Directeur,CDD,Finance
114,60,17,0.92,59073,1,0,3,3,Doctorat,Manager,CDI,Production
115,48,25,0.42,65191,0,2,7,27,Doctorat,Manager,CDD,Finance
116,30,12,0.16,45910,0,0,6,5,Doctorat,Directeur,CDI,Ventes
117,36,17,0.64,56186,0,2,5,0,Doctorat,Technicien,CDI,IT
118,36,2,0.21,42978,0,3,8,4,Licence,Directeur,CDD,Finance
119,47,22,0.82,41606,0,3,9,9,Master,Commercial,CDI,Finance
120,34,2,0.68,60031,0,2,0,13,Bac,Directeur,CDI,IT
121,53,24,0.89,35421,0,0,6,4,Doctorat,Manager,CDD,Ventes
122,60,26,0.81,30548,1,2,8,9,Doctorat,Technicien,CDI,Ventes
123,53,26,0.2,35252,0,1,9,24,Doctorat,Directeur,CDI,Finance
124,25,24,0.44,40849,1,0,1,8,Licence,Commercial,CDD,IT
125,51,23,0.8,32608,0,2,3,12,Bac,Technicien,CDI,RH
126,58,7,0.48,53091,1,1,4,16,Bac,Manager,CDI,RH
127,44,8,0.98,34745,1,4,4,18,Doctorat,Directeur,CDI,Production
128,60,29,0.76,63830,0,1,6,28,Licence,Technicien,CDD,IT
129,36,18,0.11,66049,1,2,9,19,Licence,Technicien,CDD,Ventes
130,50,15,0.89,65530,0,0,7,27,Doctorat,Manager,CDI,Production
131,57,23,0.19,58222,1,0,8,0,Doctorat,Technicien,CDI,Ventes
132,34,20,0.23,37640,1,3,4,8,Licence,Technicien,CDI,Production
133,53,5,0.76,61734,1,2,1,17,Bac,Commercial,CDI,Ventes
134,28,4,0.88,50078,1,1,1,4,Licence,Technicien,CDI,Finance
135,43,13,0.58,60875,0,1,4,13,Licence,Directeur,CDI,Ventes
136,49,3,0.36,51565,0,2,4,28,Bac,Commercial,CDD,IT
137,23,7,0.42,69582,1,1,4,18,Bac,Commercial,CDI,Production
138,27,23,0.41,28509,1,4,5,14,Bac,Directeur,CDI,RH
139,49,10,0.39,34815,0,3,7,3,Bac,Commercial,CDD,Finance
140,49,16,0.32,64639,1,0,4,3,Master,Manager,CDD,Ventes
141,41,20,0.65,60408,1,1,2,26,Bac,Manager,CDD,RH
142,51,25,0.91,50892,0,4,8,17,Licence,Directeur,CDI,Production
143,32,26,0.38,41276,1,2,3,26,Licence,Technicien,CDI,Finance
144,49,15,0.27,67932,1,1,7,17,Bac,Commercial,CDI,Finance
145,46,25,0.85,31500,1,2,8,7,Licence,Directeur,CDI,Finance
146,60,32,0.77,40546,0,4,6,1,Licence,Commercial,CDI,RH
147,54,30,0.94,68526,1,4,2,15,Master,Manager,CDD,Production
148,22,5,0.25,43042,1,0,9,13,Master,Manager,CDI,Ventes
149,48,7,0.23,66838,0,2,5,25,Doctorat,Directeur,CDI,Production
150,34,6,0.59,66153,0,3,6,22,Doctorat,Commercial,CDD,Finance
151,24,33,0.65,28229,0,0,6,0,Bac,Manager,CDD,Production
152,60,13,0.53,52725,0,2,7,16,Master,Commercial,CDI,Ventes
153,27,15,0.64,61677,0,2,9,9,Doctorat,Manager,CDD,Production
154,29,8,0.26,39720,1,4,4,15,Licence,Manager,CDD,Finance
155,48,9,0.53,59879,1,4,4,2,Doctorat,Manager,CDI,Finance
156,30,16,0.69,45018,1,2,1,18,Bac,Manager,CDI,Ventes
157,58,11,0.49,59118,1,4,1,10,Doctorat,Technicien,CDD,IT
158,54,5,0.71,32717,1,2,3,24,Bac,Directeur,CDD,Production
159,45,18,0.51,46574,0,2,6,29,Doctorat,Commercial,CDD,Finance
160,36,28,0.4,41235,0,0,7,14,Doctorat,Manager,CDD,Production
161,53,5,0.37,33189,0,0,2,17,Licence,Manager,CDD,Ventes
162,53,24,0.47,49323,0,3,0,19,Licence,Manager,CDI,RH
163,45,23,0.12,51465,1,0,3,18,Licence,Directeur,CDD,RH
164,33,24,0.7,64242,0,1,5,6,Licence,Commercial,CDD,Finance
165,60,15,0.86,39972,1,1,5,5,Master,Directeur,CDD,Ventes
166,23,15,0.42,67962,1,4,8,8,Doctorat,Directeur,CDI,Ventes
167,24,5,0.14,29865,0,1,6,12,Licence,Manager,CDI,Production
168,58,20,0.99,61066,1,0,8,7,Bac,Commercial,CDD,Finance
169,38,3,0.34,64493,0,3,9,17,Master,Manager,CDD,RH
170,23,33,0.21,55967,0,2,4,2,Bac,Directeur,CDI,Ventes
171,23,27,0.43,32540,0,3,4,0,Licence,Technicien,CDI,Ventes
172,49,27,0.76,55773,0,0,4,23,Doctorat,Technicien,CDI,RH
173,44,16,0.36,40464,0,0,4,28,Doctorat,Directeur,CDD,Production
174,58,13,0.62,65582,1,0,3,17,Doctorat,Manager,CDD,Production
175,53,6,0.47,41596,1,4,5,3,Licence,Manager,CDI,Production
176,54,21,0.21,59385,1,1,0,17,Bac,Commercial,CDD,Production
177,22,0,0.4,43386,0,0,1,15,Doctorat,Commercial,CDI,Finance
178,40,28,0.75,47906,1,2,8,17,Bac,Technicien,CDD,Production
179,23,30,0.65,48802,1,1,5,2,Licence,Manager,CDD,Production
180,47,29,0.21,34818,1,1,5,13,Doctorat,Directeur,CDI,Finance
181,53,14,0.25,68930,0,4,9,9,Master,Manager,CDI,Ventes
182,27,17,0.68,66257,0,3,3,28,Licence,Manager,CDI,IT
183,53,29,0.83,66853,1,1,4,4,Master,Directeur,CDD,Production
184,25,33,0.41,37037,1,1,8,7,Licence,Technicien,CDI,IT
185,32,10,0.64,32185,1,0,1,25,Master,Directeur,CDI,RH
186,38,26,0.25,64994,1,2,2,17,Licence,Manager,CDI,IT
187,59,23,0.38,52480,0,0,9,29,Bac,Directeur,CDI,RH
188,45,7,0.12,35692,1,2,7,28,Bac,Commercial,CDD,IT
189,26,17,0.79,47999,1,1,8,4,Doctorat,Commercial,CDI,Production
190,55,12,0.46,34805,1,2,4,26,Doctorat,Commercial,CDD,IT
191,27,23,0.83,31157,0,0,2,11,Doctorat,Commercial,CDI,Ventes
192,43,22,0.74,62873,0,0,0,28,Licence,Directeur,CDI,IT
193,32,11,0.85,65944,1,3,1,3,Doctorat,Technicien,CDI,RH
194,37,29,0.36,61761,0,4,3,11,Licence,Technicien,CDD,Ventes
195,54,30,0.27,41705,0,3,3,12,Master,Commercial,CDD,IT
196,30,27,0.97,47480,0,1,4,13,Master,Manager,CDD,RH
197,27,21,0.75,60957,1,2,8,13,Licence,Directeur,CDI,RH
198,37,27,0.85,59678,0,0,1,18,Master,Manager,CDI,Production
199,50,12,0.11,54699,1,0,1,9,Bac,Commercial,CDI,RH
200,24,24,0.42,54994,0,0,4,21,Bac,Directeur,CDI,Ventes
201,41,6,0.77,57570,0,0,1,8,Licence,Commercial,CDI,Finance
202,57,5,0.17,47282,1,1,9,23,Bac,Directeur,CDI,RH
203,40,23,0.61,40793,1,4,4,17,Master,Commercial,CDD,Ventes
204,47,18,0.49,54542,0,3,4,16,Doctorat,Technicien,CDD,Finance
205,24,18,0.12,48633,0,3,6,23,Doctorat,Directeur,CDD,IT
206,40,8,0.31,67814,1,0,3,4,Licence,Technicien,CDI,RH
207,41,28,0.36,43637,0,0,1,1,Bac,Commercial,CDI,Production
208,53,23,0.2,47795,1,2,7,9,Doctorat,Directeur,CDI,IT
209,28,4,0.67,56522,1,0,0,0,Doctorat,Manager,CDD,Production
210,54,25,0.32,37238,1,3,9,26,Doctorat,Manager,CDI,Ventes
211,60,13,0.35,55149,0,2,0,7,Licence,Directeur,CDI,Ventes
212,39,28,0.91,54534,0,2,6,7,Bac,Technicien,CDD,Finance
213,22,5,0.52,37256,1,0,3,5,Bac,Commercial,CDI,Production
214,32,6,0.45,28517,0,2,2,20,Doctorat,Technicien,CDD,Ventes
215,49,17,0.75,40425,1,4,0,4,Bac,Technicien,CDI,Production
216,46,22,0.92,49602,0,0,7,21,Bac,Directeur,CDI,Ventes
217,44,0,0.12,42676,0,4,7,20,Doctorat,Manager,CDI,Production
218,52,3,0.5,49819,0,0,3,17,Licence,Commercial,CDD,Finance
219,51,22,0.65,38781,0,4,1,6,Doctorat,Technicien,CDI,IT
220,56,26,0.39,46656,1,0,3,3,Bac,Manager,CDD,RH
221,28,25,0.8,63076,0,3,6,22,Bac,Technicien,CDD,Ventes
222,37,7,0.97,53678,1,0,3,0,Bac,Directeur,CDD,Production
223,47,15,0.95,32792,0,3,2,21,Licence,Directeur,CDI,Ventes
224,23,2,0.34,39955,1,1,9,1,Bac,Technicien,CDD,Ventes
225,22,31,0.3,36268,0,1,0,18,Bac,Manager,CDD,RH
226,33,4,0.96,46693,1,0,8,2,Bac,Technicien,CDI,Finance
227,26,19,0.51,68676,0,3,4,25,Licence,Commercial,CDI,RH
228,58,13,0.29,53601,1,3,1,0,Doctorat,Technicien,CDI,IT
229,53,31,0.74,54640,0,2,5,29,Bac,Commercial,CDD,IT
230,30,25,0.36,32439,0,2,1,20,Bac,Technicien,CDI,IT
231,56,5,0.34,41227,0,4,5,12,Licence,Commercial,CDD,IT
232,40,4,0.89,57517,1,2,8,7,Master,Manager,CDD,IT
233,37,12,0.25,57702,1,0,1,11,Licence,Technicien,CDD,Production
234,24,31,0.16,34389,0,2,0,29,Master,Technicien,CDI,Ventes
235,41,15,0.34,56575,1,2,6,7,Master,Commercial,CDI,Production
236,45,0,0.65,47942,0,0,7,25,Master,Directeur,CDI,Production
237,54,12,0.21,52392,0,0,1,27,Master,Manager,CDI,RH
238,45,10,0.52,45229,0,4,3,26,Master,Directeur,CDI,RH
239,32,7,0.66,53268,1,3,7,6,Licence,Directeur,CDD,Production
240,29,24,0.86,40240,1,2,3,22,Bac,Technicien,CDI,IT
241,57,31,0.31,59000,0,1,8,7,Licence,Technicien,CDI,Finance
242,59,23,0.84,29332,1,3,0,28,Doctorat,Technicien,CDI,Ventes
243,41,27,0.31,39229,1,0,9,23,Licence,Directeur,CDD,IT
244,56,13,0.71,34300,0,2,6,14,Bac,Manager,CDI,RH
245,46,2,0.49,45658,0,4,2,29,Bac,Commercial,CDD,Production
246,56,26,0.2,67934,1,1,9,20,Doctorat,Commercial,CDD,RH
247,46,19,0.74,53820,0,3,2,6,Doctorat,Commercial,CDI,Ventes
248,50,14,0.3,28337,0,2,6,11,Licence,Manager,CDI,Production
249,39,26,0.26,64062,1,0,5,17,Licence,Directeur,CDD,Finance
250,39,27,0.42,57906,1,3,2,3,Doctorat,Directeur,CDI,Production
251,23,24,0.69,41445,1,1,1,5,Doctorat,Manager,CDD,RH
252,56,32,0.31,29867,0,0,5,10,Licence,Technicien,CDD,IT
253,37,13,0.27,56581,0,1,9,29,Doctorat,Manager,CDI,RH
254,57,7,0.11,51298,1,2,6,9,Doctorat,Directeur,CDD,Ventes
255,54,13,0.52,28494,1,3,8,29,Licence,Commercial,CDI,Finance
256,25,0,0.49,32642,0,4,8,18,Bac,Commercial,CDD,Ventes
257,54,15,0.31,64654,1,2,8,17,Doctorat,Commercial,CDD,Ventes
258,35,17,0.15,36352,1,2,9,11,Master,Technicien,CDD,IT
259,42,6,0.49,30036,0,4,0,16,Doctorat,Technicien,CDI,RH
260,41,14,0.81,42722,0,4,3,19,Licence,Manager,CDD,IT
261,29,23,0.74,44186,1,0,3,1,Master,Commercial,CDD,IT
262,28,12,0.87,49467,1,1,9,29,Master,Technicien,CDI,Production
263,24,8,0.11,53951,0,2,7,18,Doctorat,Directeur,CDD,RH
264,38,14,0.97,30281,0,0,2,11,Licence,Manager,CDD,Production
265,54,23,0.41,58695,0,0,0,25,Licence,Directeur,CDI,RH
266,33,32,0.99,29601,0,2,2,10,Doctorat,Directeur,CDI,IT
267,43,15,0.33,29299,1,1,5,14,Bac,Commercial,CDD,Finance
268,43,7,0.52,42794,0,4,6,10,Master,Directeur,CDI,Production
269,51,28,0.42,58148,0,2,8,10,Licence,Commercial,CDD,RH
270,59,22,0.42,57713,1,1,4,21,Licence,Manager,CDD,Production
271,59,30,0.86,44026,1,4,4,9,Doctorat,Directeur,CDI,RH
272,29,13,0.77,59097,1,3,2,18,Doctorat,Commercial,CDI,Production
273,48,29,0.99,46430,0,2,2,2,Bac,Directeur,CDD,Finance
274,48,26,0.65,63649,1,2,8,3,Doctorat,Technicien,CDD,RH
275,55,15,0.52,49858,0,1,2,2,Licence,Technicien,CDI,Finance
276,42,5,0.18,46582,0,0,2,14,Master,Directeur,CDD,Finance
277,51,32,1.0,31332,1,0,8,5,Licence,Technicien,CDI,Finance
278,54,17,0.6,61871,0,1,3,8,Licence,Manager,CDI,Production
279,49,15,0.73,31177,1,2,5,7,Doctorat,Technicien,CDD,Ventes
280,54,11,0.47,56170,1,2,0,1,Bac,Manager,CDD,IT
281,26,19,0.59,58603,0,2,1,18,Master,Commercial,CDI,Ventes
282,40,28,0.95,62945,0,3,2,14,Doctorat,Manager,CDD,Ventes
283,25,29,0.25,48885,0,0,1,7,Master,Commercial,CDI,Production
284,56,25,0.36,66809,1,3,9,18,Doctorat,Technicien,CDI,Ventes
285,38,21,0.24,57728,1,2,2,4,Master,Commercial,CDI,Ventes
286,49,32,0.81,36727,1,0,4,11,Licence,Technicien,CDD,Production
287,51,28,0.16,42532,0,2,0,26,Licence,Commercial,CDI,IT
288,50,21,0.17,67828,1,2,0,11,Doctorat,Manager,CDD,IT
289,27,12,0.37,53645,1,1,6,27,Doctorat,Directeur,CDI,Ventes
290,56,8,0.56,52708,1,0,8,8,Licence,Directeur,CDD,IT
291,58,23,0.47,44647,0,2,8,17,Doctorat,Directeur,CDI,Production
292,45,14,0.14,43956,0,4,6,24,Master,Commercial,CDI,Finance
293,50,12,0.96,67736,0,4,1,9,Master,Directeur,CDD,RH
294,52,26,0.96,46436,1,2,6,4,Doctorat,Technicien,CDD,Production
295,56,6,0.35,65714,1,1,8,14,Master,Technicien,CDI,IT
296,54,7,0.76,43068,0,2,6,24,Master,Manager,CDD,Ventes
297,42,13,0.62,50209,0,4,1,19,Licence,Commercial,CDI,IT
298,53,11,0.31,41732,1,0,6,23,Bac,Manager,CDD,Ventes
299,44,16,0.34,50428,1,1,3,23,Master,Directeur,CDD,RH
300,54,28,0.54,32089,1,2,7,18,Doctorat,Commercial,CDD,Finance
301,24,26,0.48,58788,0,4,2,20,Bac,Manager,CDI,Finance
302,39,0,0.36,55423,0,0,4,9,Master,Technicien,CDI,Production
303,46,33,0.83,61125,0,4,2,16,Bac,Directeur,CDI,RH
304,52,3,0.53,41999,0,1,6,28,Bac,Directeur,CDD,Production
305,24,23,0.69,66273,1,3,2,5,Bac,Directeur,CDD,RH
306,45,20,0.27,36942,1,2,9,8,Licence,Manager,CDI,RH
307,53,32,0.58,43840,1,0,4,27,Bac,Directeur,CDD,Finance
308,43,6,0.39,31250,0,1,0,29,Licence,Technicien,CDI,RH
309,44,0,0.57,30258,0,1,3,16,Doctorat,Directeur,CDD,RH
310,23,2,0.8,69870,1,3,5,17,Doctorat,Manager,CDD,IT
311,48,14,0.79,61351,0,3,1,13,Bac,Manager,CDD,RH
312,23,30,0.42,47822,0,2,5,22,Licence,Directeur,CDD,Finance
313,47,15,0.72,42501,1,2,9,5,Master,Directeur,CDI,Finance
314,38,9,0.95,38768,0,1,6,25,Doctorat,Manager,CDI,Finance
315,54,28,0.66,53728,0,2,7,10,Master,Technicien,CDD,Ventes
316,30,5,0.23,46167,1,2,2,18,Bac,Technicien,CDI,Production
317,60,28,0.71,48916,1,3,9,15,Licence,Directeur,CDI,RH
318,50,16,0.19,33117,1,1,2,1,Master,Directeur,CDI,Ventes
319,47,21,0.88,68706,0,4,4,6,Licence,Directeur,CDI,Finance
320,56,23,0.56,38333,1,4,2,25,Doctorat,Manager,CDD,Finance
321,46,16,0.45,60302,1,0,8,25,Doctorat,Commercial,CDD,Finance
322,45,20,0.15,42922,0,3,6,20,Licence,Commercial,CDD,RH
323,34,10,0.44,67514,0,0,4,5,Doctorat,Manager,CDI,Ventes
324,28,6,0.91,46517,1,1,4,14,Doctorat,Directeur,CDI,Ventes
325,57,4,0.12,53317,1,4,0,24,Doctorat,Commercial,CDI,IT
326,41,20,0.53,34120,0,4,8,12,Master,Manager,CDD,Production
327,22,17,0.94,30477,0,4,1,6,Doctorat,Manager,CDI,Finance
328,29,19,0.46,49342,0,0,6,19,Licence,Technicien,CDD,IT
329,37,14,0.49,34137,1,2,6,26,Doctorat,Manager,CDI,RH
330,35,4,0.62,63644,0,0,1,24,Licence,Directeur,CDI,IT
331,33,12,0.52,60810,1,4,7,2,Licence,Technicien,CDD,Finance
332,44,11,0.25,66597,1,3,7,14,Master,Commercial,CDD,IT
333,36,20,0.12,36595,1,3,8,19,Licence,Manager,CDD,Finance
334,49,5,0.65,53902,0,0,1,25,Master,Technicien,CDI,IT
335,55,6,0.93,50730,0,0,0,2,Licence,Manager,CDI,Finance
336,23,25,0.2,67617,1,1,8,25,Licence,Manager,CDI,Ventes
337,53,7,0.29,34686,1,0,2,26,Master,Technicien,CDI,IT
338,44,8,0.43,57113,0,0,9,14,Master,Commercial,CDD,Ventes
339,43,26,0.83,59926,1,4,1,27,Licence,Manager,CDI,Production
340,46,3,0.34,43661,0,2,9,2,Licence,Directeur,CDI,Production
341,43,20,0.89,62654,1,4,1,27,Bac,Commercial,CDI,Production
342,43,30,0.15,29303,0,2,1,14,Licence,Commercial,CDI,IT
343,27,20,0.95,45496,1,4,7,0,Master,Manager,CDI,Production
344,36,24,0.6,50424,1,4,2,20,Licence,Commercial,CDI,Ventes
345,58,14,0.69,35452,1,1,0,19,Bac,Technicien,CDD,Ventes
346,54,27,0.43,54474,0,2,7,10,Licence,Technicien,CDD,Production
347,29,13,0.8,66886,0,4,1,24,Doctorat,Commercial,CDI,Production
348,26,3,0.25,59873,0,4,5,3,Bac,Manager,CDD,RH
349,60,19,0.14,69207,1,2,7,18,Master,Directeur,CDD,RH
350,25,33,0.46,42426,1,1,9,21,Doctorat,Manager,CDD,IT
351,27,11,0.87,61335,0,2,8,27,Master,Manager,CDD,RH
352,53,32,0.78,58541,0,1,0,27,Licence,Manager,CDI,Ventes
353,51,23,0.57,37380,0,1,8,9,Bac,Commercial,CDD,Ventes
354,56,19,0.61,62121,1,3,7,26,Master,Commercial,CDD,IT
355,37,4,0.22,39804,0,1,5,20,Licence,Manager,CDI,IT
356,34,29,0.86,53556,0,3,4,3,Master,Directeur,CDI,Finance
357,51,23,0.81,32965,1,0,5,15,Doctorat,Manager,CDD,RH
358,40,6,0.69,28168,0,1,1,0,Licence,Directeur,CDD,Finance
359,38,15,0.52,30671,0,2,2,26,Bac,Manager,CDD,Production
360,40,14,0.97,44762,0,3,8,12,Licence,Directeur,CDI,Ventes
361,49,22,0.89,57904,0,0,2,18,Master,Manager,CDD,IT
362,47,11,0.68,29932,0,0,9,13,Licence,Technicien,CDI,Production
363,58,28,0.43,42213,1,1,6,12,Master,Commercial,CDD,Finance
364,47,14,0.66,60961,0,2,3,28,Bac,Manager,CDD,Production
365,44,28,0.62,52839,0,1,8,3,Master,Commercial,CDI,Production
366,30,20,0.45,57942,0,4,3,9,Doctorat,Manager,CDI,IT
367,33,14,0.38,58325,0,0,9,26,Master,Commercial,CDD,RH
